,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
131,08-12,20,10,12,0,0,0,1,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
132,08-13,19,7,14,0,2,0,0,2,0,0,0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
133,08-14,31,11,8,0,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,08-15,9,10,6,3,1,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
135,08-16,32,9,10,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
136,08-17,29,19,10,0,1,0,3,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
137,08-18,47,14,5,0,0,0,4,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0
138,08-19,36,12,4,0,1,0,4,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0
139,08-20,60,16,8,7,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
140,08-21,37,8,6,7,0,0,2,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
141,08-22,43,8,5,1,0,0,0,3,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0
142,08-23,17,15,11,1,0,0,1,4,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0
143,08-24,27,9,10,0,1,0,0,7,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
144,08-25,25,9,12,1,1,0,1,4,1,0,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0
145,08-26,44,9,19,1,0,0,0,2,1,0,0,4,0,0,0,0,0,1,2,0,0,0,0,0,0,0
146,08-27,39,7,13,0,0,0,1,2,0,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0
147,08-28,24,2,11,0,0,0,0,3,1,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0
148,08-29,38,8,9,1,0,0,0,9,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0
149,08-31,30,7,8,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
150,09-01,31,13,6,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,09-02,50,10,8,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
152,09-03,55,6,6,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
153,09-04,21,6,5,1,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
154,09-05,53,7,5,2,0,0,1,4,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
