,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
154,09-05,2,2,0,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
155,09-06,2,2,0,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
156,09-07,2,2,0,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
157,09-08,2,2,0,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
158,09-09,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
159,09-10,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
160,09-11,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
161,09-12,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
162,09-13,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
163,09-14,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
164,09-15,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
165,09-16,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
166,09-17,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
167,09-18,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
168,09-19,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
169,09-20,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
170,09-21,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
171,09-22,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
172,09-23,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
173,09-24,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
174,09-25,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
175,09-26,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
176,09-27,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
177,09-29,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
178,09-30,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
179,10-01,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
180,10-02,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
181,10-03,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
182,10-04,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
183,10-05,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
184,10-06,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
185,10-07,2,2,1,2,2,0,1,1,2,0,0,0,0,0,25,25,2,2,0,2,0,0,0,0,0,0
186,10-08,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
187,10-09,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
188,10-10,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
189,10-11,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
190,10-12,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
191,10-13,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
192,10-14,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
193,10-15,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
194,10-16,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
195,10-17,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
196,10-18,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
197,10-19,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
198,10-20,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
199,10-21,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
200,10-22,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
201,10-23,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
202,10-24,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
203,10-25,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
204,10-26,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
205,10-27,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
206,10-28,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
207,10-29,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,2,0,2,0,0,0,0,0,0
208,10-30,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,0,0,2,0,0,0,0,0,0
209,10-31,2,2,1,2,2,0,1,1,2,0,0,0,0,0,26,26,2,0,0,2,0,0,0,0,0,0
