,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
54,05-24,743,61,161,586,853,216,513,59,117,354,354,134,134,134,332,332,73,126,175,349,129,129,129,129,129,129
55,05-25,747,64,161,589,860,217,517,59,117,356,356,134,134,134,332,332,73,127,177,349,129,129,129,129,129,129
56,05-26,750,64,161,589,863,218,519,59,117,356,356,135,135,135,333,333,74,132,178,359,129,129,129,129,129,129
57,05-27,754,64,161,591,867,219,520,59,124,357,357,135,135,135,334,334,74,138,179,359,129,129,129,129,129,129
58,05-28,764,69,161,593,868,220,524,59,124,357,357,135,135,135,335,335,74,138,180,363,129,129,129,129,129,129
59,05-29,768,75,161,597,871,220,525,59,124,358,358,135,135,135,336,336,75,138,180,363,129,129,129,129,129,129
60,05-30,772,77,163,600,871,222,526,59,124,359,359,135,135,135,337,337,78,138,181,363,129,129,129,129,129,129
61,05-31,780,81,163,603,872,223,530,59,125,359,359,135,135,135,338,338,78,138,182,363,129,129,129,129,129,129
62,06-01,785,82,163,608,875,224,534,59,125,361,361,135,135,135,338,338,78,138,185,363,130,130,130,130,130,130
63,06-02,791,86,164,610,878,227,537,59,125,362,362,136,136,136,339,339,79,139,187,363,130,130,130,130,130,130
64,06-03,796,91,164,611,878,227,538,59,125,363,363,136,136,136,340,340,79,145,188,363,130,130,130,130,130,130
65,06-04,802,94,165,614,878,227,538,59,125,369,369,136,136,136,342,342,79,145,189,363,130,130,130,130,130,130
66,06-05,809,97,165,615,880,227,539,59,127,369,369,136,136,136,343,343,79,145,189,363,130,130,130,130,130,130
67,06-06,819,98,166,616,881,227,540,59,129,369,369,136,136,136,343,343,80,145,189,363,131,131,131,131,131,131
68,06-07,830,99,166,617,881,4,543,59,129,377,377,136,136,136,343,343,80,146,189,363,133,133,133,133,133,133
69,06-08,833,101,166,620,882,4,545,59,133,377,377,136,136,136,343,343,83,146,190,363,133,133,133,133,133,133
70,06-09,837,109,167,620,882,5,547,59,133,379,379,138,138,138,343,343,84,146,192,363,133,133,133,133,133,133
71,06-10,848,112,167,621,882,5,549,59,133,381,381,139,139,139,343,343,85,146,193,363,134,134,134,134,134,134
72,06-11,858,116,167,624,884,5,550,59,133,381,381,139,139,139,343,343,85,146,193,363,134,134,134,134,134,134
73,06-12,866,116,167,624,884,6,550,59,133,381,381,139,139,139,345,345,85,146,194,363,135,135,135,135,135,135
74,06-13,871,121,168,626,885,6,554,59,133,381,381,139,139,139,346,346,85,146,194,363,135,135,135,135,135,135
75,06-14,882,124,168,626,885,6,556,59,136,381,381,139,139,139,346,346,85,146,194,363,136,136,136,136,136,136
76,06-15,896,128,168,627,886,6,556,59,136,381,381,140,140,140,346,346,85,146,194,363,136,136,136,136,136,136
77,06-16,902,131,168,627,888,7,559,59,138,382,382,140,140,140,347,347,85,146,195,363,137,137,137,137,137,137
78,06-18,929,137,170,628,891,7,559,59,139,382,382,140,140,140,350,350,85,146,195,363,137,137,137,137,137,137
79,06-19,933,140,170,630,893,7,559,59,139,382,382,140,140,140,351,351,85,147,195,363,140,140,140,140,140,140
80,06-20,935,147,170,632,894,7,559,59,139,382,382,140,140,140,353,353,85,147,195,363,142,142,142,142,142,142
81,06-21,947,156,170,632,894,7,560,59,140,382,382,140,140,140,353,353,85,147,195,363,142,142,142,142,142,142
82,06-22,947,158,170,632,895,7,560,59,140,382,382,142,142,142,353,353,85,147,195,363,145,145,145,145,145,145
83,06-23,960,159,170,633,895,7,563,59,140,382,382,142,142,142,353,353,85,147,197,363,145,145,145,145,145,145
84,06-24,968,160,170,635,895,7,564,59,140,382,382,142,142,142,355,355,85,147,199,363,145,145,145,145,145,145
85,06-25,982,162,170,636,895,7,566,59,140,382,382,142,142,142,355,355,85,147,200,363,145,145,145,145,145,145
86,06-26,992,163,170,636,895,7,566,59,140,382,382,142,142,142,355,355,85,147,200,363,145,145,145,145,145,145
87,06-27,997,165,170,637,895,7,566,59,140,382,382,142,142,142,355,355,86,147,201,363,146,146,146,146,146,146
88,06-28,1007,167,170,639,895,7,567,59,140,382,382,142,142,142,356,356,86,147,201,363,146,146,146,146,146,146
89,06-29,1018,170,170,639,895,7,567,59,140,382,382,142,142,142,357,357,87,147,201,363,146,146,146,146,146,146
