,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
26,04-26,2019,1440,575,373,315,147,313,247,78,242,0,102,0,0,280,0,54,66,94,180,88,0,0,0,0,0
27,04-27,2067,1478,597,383,340,148,330,253,78,259,0,112,0,0,282,0,54,71,97,188,91,0,0,0,0,0
28,04-28,2151,1523,623,402,368,155,347,260,78,274,0,114,0,0,284,0,57,81,104,198,93,0,0,0,0,0
29,04-29,2196,1558,640,416,415,160,360,266,82,288,0,118,0,0,294,0,58,85,105,212,100,0,0,0,0,0
30,04-30,2252,1588,653,422,456,164,372,273,83,293,0,121,0,0,295,0,58,88,109,221,103,0,0,0,0,0
31,05-01,2297,1612,677,426,492,165,388,276,84,303,0,124,0,0,301,0,61,90,112,234,104,0,0,0,0,0
32,05-02,2359,1647,699,430,517,167,394,291,95,311,0,126,0,0,306,0,64,90,115,244,105,0,0,0,0,0
33,05-03,2432,1689,735,447,561,168,409,294,96,317,0,126,0,0,309,0,64,94,121,256,105,0,0,0,0,0
34,05-04,2491,1709,745,448,603,171,420,297,97,320,0,126,0,0,310,0,64,94,126,259,107,0,0,0,0,0
35,05-05,2553,1731,769,451,659,174,420,299,98,327,0,126,0,0,310,0,65,96,128,262,110,0,0,0,0,0
36,05-06,2621,1779,784,453,681,176,439,301,99,331,0,126,0,0,315,0,65,96,128,278,111,0,0,0,0,0
37,05-07,2669,1801,810,455,712,181,450,302,99,333,0,126,0,0,317,0,65,96,130,286,111,0,0,0,0,0
38,05-08,2735,1823,852,456,733,184,460,305,101,336,0,126,0,0,322,0,67,96,131,290,113,0,0,0,0,0
39,05-09,2784,1862,891,478,754,188,462,307,102,336,0,126,0,0,323,0,68,96,132,298,114,0,0,0,0,0
