,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
165,09-16,11,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
166,09-17,19,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
167,09-18,3,8,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
168,09-19,0,8,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
169,09-20,13,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
170,09-21,8,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
171,09-22,28,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
172,09-23,14,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0
173,09-24,13,2,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0
174,09-25,6,7,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0
175,09-26,5,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
176,09-27,15,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
177,09-29,13,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0
178,09-30,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
179,10-01,22,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
180,10-02,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0
181,10-03,5,3,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,8,1,0,0,0,0,0,0
182,10-04,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0
183,10-05,20,3,0,0,1,0,2,0,0,0,0,2,2,2,0,0,0,0,2,0,0,0,0,0,0,0
184,10-06,29,5,0,4,2,0,4,0,1,0,0,0,0,0,0,0,0,0,2,3,2,2,2,2,2,2
185,10-07,19,7,1,4,11,0,6,0,1,6,6,2,2,2,5,5,3,0,2,3,2,2,2,2,2,2
186,10-08,32,12,6,5,13,0,21,0,0,2,2,4,4,4,3,3,3,0,8,0,4,4,4,4,4,4
187,10-09,42,19,6,9,6,0,19,0,3,4,4,0,0,0,6,6,1,0,2,0,4,4,4,4,4,4
188,10-10,35,15,6,8,9,3,16,0,3,0,0,4,4,4,5,5,1,0,2,0,4,4,4,4,4,4
189,10-11,16,12,1,5,9,4,6,0,0,2,2,7,7,7,6,6,0,0,0,0,4,4,4,4,4,4
190,10-12,58,12,2,3,11,0,2,0,2,1,1,2,2,2,2,2,2,0,1,0,0,0,0,0,0,0
191,10-13,138,15,4,3,2,0,19,0,3,2,2,7,7,7,3,3,0,0,1,0,0,0,0,0,0,0
192,10-14,93,14,5,6,12,0,5,0,0,3,3,7,7,7,3,3,0,0,0,0,0,0,0,0,0,0
193,10-15,93,18,3,4,6,0,4,0,1,2,2,3,3,3,1,1,2,0,2,0,0,0,0,0,0,0
194,10-16,93,16,1,5,6,0,4,0,0,0,0,0,0,0,1,1,5,0,2,0,0,0,0,0,0,0
195,10-17,56,19,0,7,11,0,6,0,0,1,1,4,4,4,1,1,1,0,3,7,4,4,4,4,4,4
196,10-18,59,18,0,7,14,0,12,0,3,1,1,4,4,4,2,2,3,0,2,0,5,5,5,5,5,5
197,10-19,5,14,0,10,7,0,19,0,0,2,2,1,1,1,2,2,2,0,1,0,0,0,0,0,0,0
198,10-20,75,11,1,14,3,0,13,0,0,1,1,4,4,4,3,3,3,0,1,0,1,1,1,1,1,1
199,10-21,91,7,6,9,13,0,8,0,1,3,3,4,4,4,5,5,4,0,0,1,1,1,1,1,1,1
200,10-22,70,7,0,6,11,0,14,0,3,3,3,7,7,7,5,5,3,0,1,0,3,3,3,3,3,3
201,10-23,93,6,0,6,9,9,15,0,0,3,3,1,1,1,6,6,3,0,1,0,2,2,2,2,2,2
202,10-24,79,9,1,18,14,9,13,0,6,1,1,2,2,2,6,6,4,0,1,0,2,2,2,2,2,2
203,10-25,97,15,5,17,14,9,13,0,1,11,11,4,4,4,11,11,10,0,3,0,3,3,3,3,3,3
204,10-26,67,18,2,18,3,9,17,0,2,7,7,3,3,3,8,8,4,0,5,1,1,1,1,1,1,1
205,10-27,57,24,2,15,14,9,21,0,3,4,4,0,0,0,9,9,3,0,4,0,1,1,1,1,1,1
206,10-28,57,25,0,15,6,11,15,0,2,4,4,1,1,1,5,5,1,0,2,0,0,0,0,0,0,0
207,10-29,60,28,3,14,8,12,13,0,0,5,5,2,2,2,8,8,5,0,2,0,0,0,0,0,0,0
208,10-30,58,28,3,10,16,12,12,0,5,6,6,5,5,5,12,12,6,2,4,0,1,1,1,1,1,1
209,10-31,47,28,4,18,12,9,11,0,3,0,0,4,4,4,10,10,5,2,2,0,2,2,2,2,2,2
