,ID,Date,District,Suspected_Local,Suspected_Foreign,Suspected_Total,TotalInfected
16,0411_Badulla,04-11,Badulla,1,0,1,1
17,0411_Matara,04-11,Matara,0,1,1,2
18,0411_Batticoloa,04-11,Batticoloa,0,0,0,1
19,0411_Hambantota,04-11,Hambantota,3,0,3,0
20,0411_Vavunia,04-11,Vavunia,3,0,3,0
21,0411_Trincomalee,04-11,Trincomalee,0,0,0,0
22,0411_Nuwaraeliya,04-11,Nuwaraeliya,0,0,0,0
23,0411_Kilinochchi,04-11,Kilinochchi,0,0,0,0
24,0411_Mannar,04-11,Mannar,0,0,0,0
25,0411_Mullativu,04-11,Mullativu,0,0,0,0
0,0412_Colombo,04-12,Colombo,50,0,50,45
1,0412_Gampaha,04-12,Gampaha,16,0,16,23
2,0412_Puttalam,04-12,Puttalam,3,0,3,34
3,0412_Kalutara,04-12,Kalutara,12,0,12,28
4,0412_Anuradhapura,04-12,Anuradhapura,3,0,3,0
5,0412_Kandy,04-12,Kandy,0,0,0,7
6,0412_Kurunegala,04-12,Kurunegala,4,0,4,2
7,0412_Polonnaruwa,04-12,Polonnaruwa,23,0,23,0
8,0412_Jaffna,04-12,Jaffna,4,0,4,7
9,0412_Ratnapura,04-12,Ratnapura,8,0,8,5
10,0412_Kegalle,04-12,Kegalle,0,0,0,1
11,0412_Moneragala,04-12,Moneragala,2,0,2,0
12,0412_Kalmunai,04-12,Kalmunai,0,0,0,2
13,0412_Matale,04-12,Matale,0,0,0,0
14,0412_Galle,04-12,Galle,2,0,2,1
15,0412_Ampara,04-12,Ampara,0,0,0,0
16,0412_Badulla,04-12,Badulla,0,0,0,1
17,0412_Matara,04-12,Matara,0,0,0,2
18,0412_Batticoloa,04-12,Batticoloa,0,0,0,1
19,0412_Hambantota,04-12,Hambantota,3,0,3,0
20,0412_Vavunia,04-12,Vavunia,2,0,2,0
21,0412_Trincomalee,04-12,Trincomalee,0,0,0,0
22,0412_Nuwaraeliya,04-12,Nuwaraeliya,0,0,0,0
23,0412_Kilinochchi,04-12,Kilinochchi,0,0,0,0
24,0412_Mannar,04-12,Mannar,0,0,0,0
25,0412_Mullativu,04-12,Mullativu,0,0,0,0
0,0413_Colombo,04-13,Colombo,22,1,23,45
1,0413_Gampaha,04-13,Gampaha,19,0,19,24
2,0413_Puttalam,04-13,Puttalam,0,0,0,34
3,0413_Kalutara,04-13,Kalutara,9,0,9,37
4,0413_Anuradhapura,04-13,Anuradhapura,6,0,6,0
5,0413_Kandy,04-13,Kandy,0,0,0,7
6,0413_Kurunegala,04-13,Kurunegala,5,0,5,2
